Name,Symbol,Market Cap
Apple,AAPL,2.46T
Microsoft,MSFT,2.25T
Alphabet C,GOOG,1.92T
Alphabet A,GOOGL,1.92T
Amazon.com,AMZN,1.70T
Facebook,FB,1.05T
Tesla,TSLA,704.81B
Berkshire Hathaway B,BRKb,648.50B
Berkshire Hathaway A,BRKa,648.50B
NVIDIA,NVDA,564.99B
Taiwan Semiconductor,TSM,557.03B
Tencent ADR,TCEHY,550.61B
Tencent Holdings,TCTZF,550.61B
Visa A,V,494.89B
JPMorgan,JPM,487.22B
JPMorgan Chase Pref EE,JPM_pc,487.22B
J&J,JNJ,455.24B
JPMorgan Chase & Co Pg ADR,JPM_pg,450.14B
JPMorgan Chase & Co Ph ADR,JPM_ph,450.14B
Alibaba ADR,BABA,432.31B
Samsung Electronics Co,SSNLF,428.05B
Walmart,WMT,410.57B
UnitedHealth,UNH,394.86B
Louis Vuitton ADR,LVMUY,370.27B
Bank of America Corp Pe ADR,BAC_pe,357.55B
Bank of America Corp Pl Pref,BAC_pl,357.55B
Bank of America Corp Pl ADR,BML_pl,357.55B
Bank of America Pm,BAC_pm,357.55B
Bank of America,BAC,357.55B
Bank of America Corp Pg ADR,BML_pg,357.55B
Bank of America Corp Ph ADR,BML_ph,357.55B
Bank of America Corp Pj ADR,BML_pj,357.55B
Nestle ADR,NSRGY,351.17B
Nestle,NSRGF,351.17B
Mastercard,MA,351.03B
Roche Holding ADR,RHHBY,350.89B
Roche Holding Participation,RHHVF,350.89B
Procter&Gamble,PG,345.57B
Home Depot,HD,341.28B
ASML Holding,ASMLF,340.04B
ASML  ADR,ASML,340.04B
Walt Disney,DIS,327.34B
PayPal Holdings Inc,PYPL,327.05B
Adobe,ADBE,313.72B
Comcast,CMCSA,272.63B
Prosus,PROSF,270.44B
Prosus ADR,PROSY,270.44B
Nike,NKE,265.30B
Pfizer,PFE,261.27B
Salesforce.com,CRM,258.94B
L’Oreal ADR,LRLCY,258.93B
Industrial Commercial Bank of China,IDCBY,252.52B
Oracle,ORCL,249.47B
Cisco,CSCO,248.72B
Netflix,NFLX,247.38B
Coca-Cola,KO,240.22B
Toyota Motor ADR,TM,239.89B
Toyota Motor,TOYOF,239.89B
Exxon Mobil,XOM,236.11B
Eli Lilly,LLY,235.48B
Novo Nordisk ADR,NVO,234.36B
Danaher,DHR,227.81B
Verizon,VZ,226.75B
Novartis,NVSEF,225.19B
Novartis ADR,NVS,225.19B
China Construction Bank Corp,CICHY,222.00B
China Construction Bank,CICHF,222.00B
Abbott Labs,ABT,220.88B
Intel,INTC,218.63B
Thermo Fisher Scientific,TMO,215.79B
PepsiCo,PEP,214.14B
Accenture,ACN,212.85B
Danaher,DHR_pa,212.06B
AbbVie,ABBV,211.32B
Wells Fargo Pref L,WFC_pl,204.54B
Wells Fargo & Co Po ADR,WFC_po,204.54B
Wells Fargo&Co,WFC,204.54B
Wells Fargo Pref X,WFC_px,204.54B
Wells Fargo & Co Pq ADR,WFC_pq,204.54B
Wells Fargo Pref R,WFC_pr,204.54B
Wells Fargo & Co Pt ADR,WFC_pt,204.54B
Broadcom,AVGO,203.46B
National Art Exchange,NAEX,200.58B
